step,flanker,target,condition,learner_correct,learner_pred,true_target
1,U,L,Incongruent,0,2,1
2,D,U,Incongruent,1,2,2
3,D,U,Incongruent,1,2,2
4,U,U,Congruent,1,2,2
5,R,R,Congruent,1,0,0
6,U,U,Congruent,1,2,2
7,R,R,Congruent,1,0,0
8,R,R,Congruent,1,0,0
9,R,R,Congruent,1,0,0
10,L,L,Congruent,1,1,1
11,D,D,Congruent,0,2,3
12,U,U,Congruent,1,2,2
13,L,D,Incongruent,1,3,3
14,R,D,Incongruent,1,3,3
15,R,D,Incongruent,1,3,3
16,U,R,Incongruent,0,2,0
17,R,R,Congruent,1,0,0
18,D,L,Incongruent,0,2,1
19,R,R,Congruent,1,0,0
20,D,D,Congruent,0,2,3
21,L,R,Incongruent,1,0,0
22,L,D,Incongruent,1,3,3
23,D,D,Congruent,0,2,3
24,D,U,Incongruent,1,2,2
25,L,L,Congruent,1,1,1
26,U,U,Congruent,1,2,2
27,L,U,Incongruent,1,2,2
28,L,R,Incongruent,1,0,0
29,D,L,Incongruent,0,2,1
30,R,D,Incongruent,1,3,3
31,R,R,Congruent,1,0,0
32,U,D,Incongruent,0,2,3
33,R,R,Congruent,1,0,0
34,L,D,Incongruent,1,3,3
35,R,R,Congruent,1,0,0
36,D,R,Incongruent,0,2,0
37,L,U,Incongruent,1,2,2
38,R,D,Incongruent,0,1,3
39,U,D,Incongruent,0,2,3
40,L,L,Congruent,1,1,1
41,U,L,Incongruent,0,2,1
42,D,U,Incongruent,1,2,2
43,L,U,Incongruent,1,2,2
44,R,R,Congruent,0,2,0
45,R,R,Congruent,1,0,0
46,R,R,Congruent,1,0,0
47,L,U,Incongruent,1,2,2
48,U,D,Incongruent,0,2,3
49,R,R,Congruent,1,0,0
50,L,U,Incongruent,1,2,2
51,D,D,Congruent,0,2,3
52,R,R,Congruent,1,0,0
