step,flanker,target,condition,learner_correct,learner_pred,true_target
1,D,D,Congruent,0,2,3
2,D,R,Incongruent,0,2,0
3,D,U,Incongruent,1,2,2
4,D,R,Incongruent,0,2,0
5,U,U,Congruent,1,2,2
6,D,R,Incongruent,0,2,0
7,R,R,Congruent,1,0,0
8,L,U,Incongruent,1,2,2
9,L,D,Incongruent,1,3,3
10,R,U,Incongruent,1,2,2
11,D,U,Incongruent,1,2,2
12,D,U,Incongruent,1,2,2
13,U,L,Incongruent,0,2,1
14,U,D,Incongruent,0,2,3
15,U,U,Congruent,1,2,2
16,D,D,Congruent,0,2,3
17,R,R,Congruent,1,0,0
18,D,L,Incongruent,0,2,1
19,D,D,Congruent,0,2,3
20,D,U,Incongruent,1,2,2
21,L,D,Incongruent,1,3,3
22,D,D,Congruent,0,2,3
23,R,D,Incongruent,0,1,3
24,U,U,Congruent,1,2,2
25,U,U,Congruent,1,2,2
26,U,L,Incongruent,0,2,1
27,R,R,Congruent,1,0,0
28,L,L,Congruent,1,1,1
29,U,U,Congruent,1,2,2
30,D,D,Congruent,0,2,3
31,R,R,Congruent,1,0,0
32,R,R,Congruent,1,0,0
33,R,R,Congruent,1,0,0
34,L,L,Congruent,1,1,1
35,D,U,Incongruent,1,2,2
36,L,R,Incongruent,1,0,0
37,U,R,Incongruent,0,2,0
38,R,R,Congruent,1,0,0
39,D,R,Incongruent,0,2,0
40,L,L,Congruent,1,1,1
41,U,D,Incongruent,0,2,3
42,L,L,Congruent,1,1,1
43,R,U,Incongruent,1,2,2
44,U,L,Incongruent,0,2,1
45,R,L,Incongruent,1,1,1
46,D,D,Congruent,0,2,3
47,R,R,Congruent,1,0,0
48,R,U,Incongruent,1,2,2
49,L,L,Congruent,1,1,1
50,L,U,Incongruent,1,2,2
51,D,U,Incongruent,1,2,2
52,L,R,Incongruent,1,0,0
53,U,L,Incongruent,0,2,1
54,L,D,Incongruent,1,3,3
55,L,L,Congruent,1,1,1
56,L,L,Congruent,1,1,1
57,L,L,Congruent,1,1,1
58,R,R,Congruent,1,0,0
59,L,D,Incongruent,1,3,3
60,R,R,Congruent,1,0,0
