step,flanker,target,condition,learner_correct,learner_pred,true_target
1,L,L,Congruent,1,1,1
2,R,L,Incongruent,1,1,1
3,U,L,Incongruent,1,1,1
4,U,U,Congruent,1,2,2
5,D,U,Incongruent,1,2,2
6,L,L,Congruent,1,1,1
7,D,D,Congruent,1,3,3
8,L,U,Incongruent,1,2,2
9,L,L,Congruent,1,1,1
10,L,L,Congruent,1,1,1
11,U,U,Congruent,1,2,2
12,L,D,Incongruent,1,3,3
13,L,L,Congruent,1,1,1
14,D,R,Incongruent,1,0,0
15,U,U,Congruent,1,2,2
16,D,U,Incongruent,1,2,2
17,U,U,Congruent,1,2,2
18,U,U,Congruent,1,2,2
19,R,L,Incongruent,1,1,1
20,D,D,Congruent,1,3,3
21,L,U,Incongruent,1,2,2
22,U,U,Congruent,1,2,2
23,R,D,Incongruent,1,3,3
24,D,D,Congruent,1,3,3
25,L,L,Congruent,1,1,1
26,D,D,Congruent,1,3,3
27,R,R,Congruent,1,0,0
28,R,R,Congruent,1,0,0
29,U,R,Incongruent,1,0,0
30,U,D,Incongruent,1,3,3
31,U,U,Congruent,1,2,2
32,D,L,Incongruent,1,1,1
33,D,D,Congruent,1,3,3
34,R,L,Incongruent,1,1,1
35,D,D,Congruent,1,3,3
36,R,R,Congruent,1,0,0
37,R,R,Congruent,1,0,0
38,D,R,Incongruent,1,0,0
39,L,L,Congruent,1,1,1
40,U,U,Congruent,1,2,2
41,R,R,Congruent,1,0,0
42,U,R,Incongruent,1,0,0
43,R,R,Congruent,1,0,0
44,U,D,Incongruent,1,3,3
45,D,D,Congruent,1,3,3
46,L,U,Incongruent,1,2,2
47,D,D,Congruent,1,3,3
48,R,L,Incongruent,1,1,1
49,R,R,Congruent,1,0,0
50,D,D,Congruent,1,3,3
51,R,L,Incongruent,1,1,1
52,D,D,Congruent,1,3,3
53,R,U,Incongruent,1,2,2
54,L,R,Incongruent,1,0,0
55,L,L,Congruent,1,1,1
56,D,D,Congruent,1,3,3
57,L,L,Congruent,1,1,1
58,D,D,Congruent,1,3,3
59,U,U,Congruent,1,2,2
60,U,U,Congruent,1,2,2
61,R,R,Congruent,1,0,0
62,R,D,Incongruent,1,3,3
63,R,R,Congruent,1,0,0
64,L,U,Incongruent,1,2,2
65,R,D,Incongruent,1,3,3
66,U,D,Incongruent,1,3,3
67,U,L,Incongruent,1,1,1
68,D,D,Congruent,1,3,3
69,U,U,Congruent,1,2,2
70,D,U,Incongruent,1,2,2
71,D,D,Congruent,1,3,3
72,L,R,Incongruent,1,0,0
73,D,D,Congruent,1,3,3
74,D,D,Congruent,1,3,3
75,D,D,Congruent,1,3,3
76,R,U,Incongruent,1,2,2
77,R,U,Incongruent,1,2,2
78,U,U,Congruent,1,2,2
79,L,U,Incongruent,1,2,2
80,L,L,Congruent,1,1,1
81,L,L,Congruent,1,1,1
82,L,U,Incongruent,1,2,2
83,D,D,Congruent,1,3,3
84,R,R,Congruent,1,0,0
85,L,R,Incongruent,1,0,0
