step,flanker,target,condition,learner_correct,learner_pred,true_target
1,D,U,Incongruent,1,2,2
2,U,L,Incongruent,1,1,1
3,D,R,Incongruent,1,0,0
4,L,D,Incongruent,1,3,3
5,D,R,Incongruent,1,0,0
6,R,L,Incongruent,1,1,1
7,U,L,Incongruent,1,1,1
8,D,R,Incongruent,1,0,0
9,R,R,Congruent,1,0,0
10,U,U,Congruent,1,2,2
11,D,D,Congruent,1,3,3
12,L,L,Congruent,1,1,1
13,R,U,Incongruent,1,2,2
14,U,U,Congruent,1,2,2
15,L,L,Congruent,1,1,1
16,R,D,Incongruent,1,3,3
17,L,L,Congruent,1,1,1
18,D,R,Incongruent,1,0,0
19,R,D,Incongruent,1,3,3
20,L,L,Congruent,1,1,1
21,L,R,Incongruent,1,0,0
22,U,U,Congruent,1,2,2
23,U,U,Congruent,1,2,2
24,D,R,Incongruent,1,0,0
25,U,U,Congruent,1,2,2
26,D,R,Incongruent,1,0,0
27,R,R,Congruent,1,0,0
28,L,U,Incongruent,1,2,2
29,U,U,Congruent,1,2,2
30,U,U,Congruent,1,2,2
31,D,R,Incongruent,1,0,0
32,L,L,Congruent,1,1,1
33,L,R,Incongruent,1,0,0
34,D,R,Incongruent,1,0,0
35,D,R,Incongruent,1,0,0
36,L,D,Incongruent,1,3,3
37,D,D,Congruent,1,3,3
38,R,R,Congruent,1,0,0
39,U,R,Incongruent,1,0,0
40,U,D,Incongruent,1,3,3
41,U,L,Incongruent,1,1,1
42,R,D,Incongruent,1,3,3
43,R,L,Incongruent,1,1,1
44,R,D,Incongruent,1,3,3
45,U,U,Congruent,1,2,2
46,U,L,Incongruent,1,1,1
47,U,U,Congruent,1,2,2
48,U,R,Incongruent,1,0,0
49,L,R,Incongruent,1,0,0
50,L,L,Congruent,1,1,1
51,L,U,Incongruent,1,2,2
52,L,U,Incongruent,1,2,2
53,L,R,Incongruent,1,0,0
54,L,R,Incongruent,1,0,0
55,U,R,Incongruent,1,0,0
56,R,U,Incongruent,1,2,2
57,D,U,Incongruent,1,2,2
58,D,D,Congruent,1,3,3
59,D,D,Congruent,1,3,3
60,R,L,Incongruent,1,1,1
