step,flanker,target,condition,learner_correct,learner_pred,true_target
1,U,U,Congruent,1,2,2
2,R,R,Congruent,1,0,0
3,L,L,Congruent,1,1,1
4,D,L,Incongruent,0,2,1
5,U,D,Incongruent,0,2,3
6,R,D,Incongruent,0,1,3
7,R,D,Incongruent,0,1,3
8,U,U,Congruent,1,2,2
9,D,R,Incongruent,0,2,0
10,D,D,Congruent,0,2,3
11,L,L,Congruent,1,1,1
12,D,L,Incongruent,0,2,1
13,U,R,Incongruent,0,2,0
14,R,L,Incongruent,1,1,1
15,R,U,Incongruent,1,2,2
16,R,R,Congruent,1,0,0
17,R,U,Incongruent,1,2,2
18,L,R,Incongruent,1,0,0
19,R,D,Incongruent,1,3,3
20,L,R,Incongruent,1,0,0
21,R,R,Congruent,1,0,0
22,D,R,Incongruent,0,2,0
23,D,R,Incongruent,0,2,0
24,R,R,Congruent,1,0,0
25,U,R,Incongruent,0,2,0
26,L,L,Congruent,1,1,1
27,U,U,Congruent,1,2,2
28,L,L,Congruent,1,1,1
29,D,R,Incongruent,0,2,0
30,L,L,Congruent,1,1,1
31,U,L,Incongruent,0,2,1
32,L,L,Congruent,1,1,1
33,R,L,Incongruent,1,1,1
34,U,U,Congruent,1,2,2
35,R,D,Incongruent,0,1,3
36,D,D,Congruent,0,2,3
37,D,D,Congruent,0,2,3
38,L,L,Congruent,1,1,1
39,U,D,Incongruent,0,2,3
40,R,R,Congruent,1,0,0
41,U,U,Congruent,1,2,2
42,U,L,Incongruent,0,2,1
43,L,U,Incongruent,1,2,2
44,U,U,Congruent,1,2,2
45,L,U,Incongruent,1,2,2
46,U,R,Incongruent,0,2,0
47,D,D,Congruent,0,2,3
48,U,U,Congruent,1,2,2
49,L,U,Incongruent,1,2,2
50,D,D,Congruent,0,2,3
51,U,U,Congruent,1,2,2
52,U,U,Congruent,1,2,2
53,D,U,Incongruent,1,2,2
54,D,L,Incongruent,0,2,1
55,R,R,Congruent,1,0,0
56,D,U,Incongruent,1,2,2
57,U,U,Congruent,1,2,2
58,R,R,Congruent,1,0,0
59,U,U,Congruent,1,2,2
60,L,L,Congruent,1,1,1
61,D,U,Incongruent,1,2,2
62,L,L,Congruent,1,1,1
63,L,L,Congruent,1,1,1
64,R,L,Incongruent,1,1,1
65,R,U,Incongruent,1,2,2
66,D,R,Incongruent,0,2,0
67,R,R,Congruent,1,0,0
68,R,R,Congruent,1,0,0
69,L,U,Incongruent,1,2,2
70,D,L,Incongruent,0,2,1
71,R,L,Incongruent,1,1,1
72,L,L,Congruent,1,1,1
73,R,R,Congruent,1,0,0
74,U,R,Incongruent,0,2,0
75,D,L,Incongruent,0,2,1
76,D,D,Congruent,0,2,3
77,R,R,Congruent,1,0,0
78,U,U,Congruent,1,2,2
