step,flanker,target,condition,learner_correct,learner_pred,true_target
1,L,U,Incongruent,1,2,2
2,R,L,Incongruent,1,1,1
3,U,U,Congruent,1,2,2
4,U,L,Incongruent,0,2,1
5,D,L,Incongruent,0,2,1
6,U,D,Incongruent,0,2,3
7,L,L,Congruent,1,1,1
8,L,L,Congruent,1,1,1
9,R,R,Congruent,1,0,0
10,D,D,Congruent,0,2,3
11,R,R,Congruent,1,0,0
12,L,D,Incongruent,1,3,3
13,L,D,Incongruent,1,3,3
14,R,U,Incongruent,1,2,2
15,L,U,Incongruent,1,2,2
16,L,L,Congruent,1,1,1
17,L,U,Incongruent,1,2,2
18,D,D,Congruent,0,2,3
19,R,R,Congruent,1,0,0
20,U,D,Incongruent,0,2,3
21,L,L,Congruent,1,1,1
22,R,L,Incongruent,1,1,1
23,R,U,Incongruent,1,2,2
24,L,L,Congruent,1,1,1
25,R,R,Congruent,1,0,0
26,R,U,Incongruent,1,2,2
27,R,R,Congruent,1,0,0
28,U,U,Congruent,1,2,2
29,L,L,Congruent,1,1,1
30,R,R,Congruent,1,0,0
31,L,L,Congruent,1,1,1
32,D,R,Incongruent,0,2,0
33,U,U,Congruent,1,2,2
34,D,L,Incongruent,0,2,1
35,L,L,Congruent,1,1,1
36,D,L,Incongruent,0,2,1
37,U,U,Congruent,1,2,2
38,R,R,Congruent,1,0,0
39,U,D,Incongruent,0,2,3
40,L,L,Congruent,1,1,1
41,U,U,Congruent,1,2,2
42,U,U,Congruent,1,2,2
43,D,D,Congruent,0,2,3
44,D,U,Incongruent,1,2,2
45,R,R,Congruent,1,0,0
46,L,U,Incongruent,1,2,2
47,R,L,Incongruent,1,1,1
48,D,D,Congruent,0,2,3
49,R,D,Incongruent,0,1,3
50,D,D,Congruent,0,2,3
51,U,U,Congruent,1,2,2
52,U,R,Incongruent,0,2,0
53,D,D,Congruent,0,2,3
54,L,D,Incongruent,1,3,3
55,R,R,Congruent,1,0,0
56,L,L,Congruent,1,1,1
57,D,D,Congruent,0,2,3
58,L,L,Congruent,1,1,1
59,L,L,Congruent,1,1,1
60,D,D,Congruent,0,2,3
61,R,R,Congruent,1,0,0
