step,flanker,target,condition,learner_correct,learner_pred,true_target
1,L,L,Congruent,1,1,1
2,R,L,Incongruent,1,1,1
3,L,D,Incongruent,1,3,3
4,U,R,Incongruent,0,2,0
5,D,L,Incongruent,0,2,1
6,U,R,Incongruent,0,2,0
7,D,L,Incongruent,0,2,1
8,D,D,Congruent,0,2,3
9,R,R,Congruent,1,0,0
10,D,D,Congruent,0,2,3
11,L,U,Incongruent,1,2,2
12,U,R,Incongruent,0,2,0
13,R,U,Incongruent,1,2,2
14,L,L,Congruent,1,1,1
15,R,R,Congruent,1,0,0
16,L,L,Congruent,1,1,1
17,U,U,Congruent,1,2,2
18,D,D,Congruent,0,2,3
19,U,U,Congruent,1,2,2
20,U,U,Congruent,1,2,2
21,R,R,Congruent,1,0,0
22,R,R,Congruent,1,0,0
23,L,L,Congruent,1,1,1
24,L,U,Incongruent,1,2,2
25,D,U,Incongruent,1,2,2
26,D,D,Congruent,0,2,3
27,R,R,Congruent,1,0,0
28,R,U,Incongruent,1,2,2
29,R,R,Congruent,1,0,0
30,D,L,Incongruent,0,2,1
31,R,R,Congruent,1,0,0
32,U,U,Congruent,1,2,2
33,D,D,Congruent,0,2,3
34,D,D,Congruent,0,2,3
35,U,R,Incongruent,0,2,0
36,U,R,Incongruent,0,2,0
37,D,D,Congruent,0,2,3
38,R,R,Congruent,1,0,0
39,R,D,Incongruent,0,1,3
40,U,L,Incongruent,0,2,1
41,U,U,Congruent,1,2,2
42,D,R,Incongruent,0,2,0
43,D,D,Congruent,0,2,3
44,R,L,Incongruent,1,1,1
45,R,R,Congruent,1,0,0
46,U,L,Incongruent,0,2,1
47,R,D,Incongruent,0,1,3
48,D,D,Congruent,0,2,3
49,L,L,Congruent,1,1,1
50,D,L,Incongruent,0,2,1
51,R,L,Incongruent,1,1,1
52,D,R,Incongruent,0,2,0
53,D,D,Congruent,0,2,3
54,U,L,Incongruent,0,2,1
