step,flanker,target,condition,learner_correct,learner_pred,true_target
1,L,L,Congruent,1,1,1
2,L,D,Incongruent,1,3,3
3,L,L,Congruent,1,1,1
4,D,R,Incongruent,0,2,0
5,D,D,Congruent,0,2,3
6,D,D,Congruent,0,2,3
7,L,L,Congruent,1,1,1
8,L,L,Congruent,1,1,1
9,D,U,Incongruent,1,2,2
10,U,U,Congruent,1,2,2
11,L,L,Congruent,1,1,1
12,D,R,Incongruent,0,2,0
13,D,U,Incongruent,1,2,2
14,R,R,Congruent,1,0,0
15,L,R,Incongruent,1,0,0
16,U,D,Incongruent,0,2,3
17,U,U,Congruent,1,2,2
18,L,L,Congruent,1,1,1
19,L,D,Incongruent,1,3,3
20,L,U,Incongruent,1,2,2
21,D,D,Congruent,0,2,3
22,R,R,Congruent,1,0,0
23,R,R,Congruent,1,0,0
24,L,R,Incongruent,1,0,0
25,R,R,Congruent,1,0,0
26,U,U,Congruent,1,2,2
27,L,L,Congruent,1,1,1
28,U,U,Congruent,1,2,2
29,L,R,Incongruent,1,0,0
30,R,R,Congruent,1,0,0
31,U,U,Congruent,1,2,2
32,L,D,Incongruent,1,3,3
33,L,U,Incongruent,1,2,2
34,L,R,Incongruent,1,0,0
35,L,D,Incongruent,1,3,3
36,R,R,Congruent,1,0,0
37,D,D,Congruent,0,2,3
38,L,R,Incongruent,1,0,0
39,R,U,Incongruent,1,2,2
40,U,R,Incongruent,0,2,0
41,L,L,Congruent,1,1,1
42,L,L,Congruent,1,1,1
43,D,L,Incongruent,0,2,1
44,L,D,Incongruent,1,3,3
45,D,L,Incongruent,0,2,1
46,R,R,Congruent,1,0,0
47,U,L,Incongruent,0,2,1
48,R,U,Incongruent,1,2,2
49,D,D,Congruent,0,2,3
50,U,U,Congruent,1,2,2
51,L,L,Congruent,1,1,1
52,L,L,Congruent,1,1,1
53,U,D,Incongruent,0,2,3
54,R,R,Congruent,1,0,0
55,U,L,Incongruent,0,2,1
56,L,L,Congruent,1,1,1
57,R,R,Congruent,1,0,0
58,U,U,Congruent,1,2,2
59,L,D,Incongruent,1,3,3
60,L,D,Incongruent,1,3,3
61,L,L,Congruent,1,1,1
62,U,R,Incongruent,0,2,0
63,U,U,Congruent,1,2,2
64,D,L,Incongruent,0,2,1
65,U,R,Incongruent,0,2,0
66,L,L,Congruent,1,1,1
67,R,L,Incongruent,1,1,1
68,R,R,Congruent,1,0,0
69,U,U,Congruent,1,2,2
70,D,L,Incongruent,0,2,1
71,D,D,Congruent,0,2,3
72,L,U,Incongruent,1,2,2
73,L,L,Congruent,1,1,1
74,D,U,Incongruent,1,2,2
75,L,L,Congruent,1,1,1
76,D,D,Congruent,0,2,3
77,R,R,Congruent,1,0,0
78,U,U,Congruent,1,2,2
79,D,D,Congruent,0,2,3
80,L,L,Congruent,1,1,1
81,U,U,Congruent,1,2,2
82,R,L,Incongruent,1,1,1
83,L,L,Congruent,1,1,1
84,U,U,Congruent,1,2,2
85,U,D,Incongruent,0,2,3
86,D,D,Congruent,0,2,3
87,L,L,Congruent,1,1,1
88,D,U,Incongruent,1,2,2
89,U,U,Congruent,1,2,2
