step,flanker,target,condition,learner_correct,learner_pred,true_target
1,L,D,Incongruent,1,3,3
2,U,U,Congruent,1,2,2
3,L,D,Incongruent,1,3,3
4,D,D,Congruent,1,3,3
5,D,U,Incongruent,1,2,2
6,R,U,Incongruent,1,2,2
7,U,D,Incongruent,1,3,3
8,D,D,Congruent,1,3,3
9,R,U,Incongruent,1,2,2
10,R,R,Congruent,1,0,0
11,L,R,Incongruent,1,0,0
12,L,D,Incongruent,1,3,3
13,L,D,Incongruent,1,3,3
14,U,R,Incongruent,1,0,0
15,U,R,Incongruent,1,0,0
16,L,L,Congruent,1,1,1
17,D,U,Incongruent,1,2,2
18,R,D,Incongruent,1,3,3
19,U,U,Congruent,1,2,2
20,U,U,Congruent,1,2,2
21,U,U,Congruent,1,2,2
22,R,R,Congruent,1,0,0
23,D,D,Congruent,1,3,3
24,L,L,Congruent,1,1,1
25,U,U,Congruent,1,2,2
26,L,R,Incongruent,1,0,0
27,U,U,Congruent,1,2,2
28,D,R,Incongruent,1,0,0
29,D,R,Incongruent,1,0,0
30,R,R,Congruent,1,0,0
31,R,L,Incongruent,1,1,1
32,R,R,Congruent,1,0,0
33,L,L,Congruent,1,1,1
34,L,L,Congruent,1,1,1
35,R,R,Congruent,1,0,0
36,L,L,Congruent,1,1,1
37,U,L,Incongruent,1,1,1
38,L,L,Congruent,1,1,1
39,R,R,Congruent,1,0,0
40,U,R,Incongruent,1,0,0
41,D,U,Incongruent,1,2,2
42,L,L,Congruent,1,1,1
43,U,U,Congruent,1,2,2
44,L,R,Incongruent,1,0,0
45,U,L,Incongruent,1,1,1
46,L,L,Congruent,1,1,1
47,U,U,Congruent,1,2,2
48,U,U,Congruent,1,2,2
49,U,L,Incongruent,1,1,1
50,L,D,Incongruent,1,3,3
51,L,D,Incongruent,1,3,3
52,D,L,Incongruent,1,1,1
53,R,U,Incongruent,1,2,2
54,D,L,Incongruent,1,1,1
55,L,L,Congruent,1,1,1
56,L,L,Congruent,1,1,1
57,D,L,Incongruent,1,1,1
58,R,R,Congruent,1,0,0
