step,flanker,target,condition,learner_correct,learner_pred,true_target
1,U,U,Congruent,1,2,2
2,R,D,Incongruent,0,1,3
3,L,U,Incongruent,1,2,2
4,D,R,Incongruent,0,2,0
5,L,L,Congruent,1,1,1
6,R,R,Congruent,1,0,0
7,R,D,Incongruent,1,3,3
8,U,U,Congruent,1,2,2
9,U,R,Incongruent,0,2,0
10,U,U,Congruent,1,2,2
11,L,U,Incongruent,1,2,2
12,U,U,Congruent,1,2,2
13,D,R,Incongruent,0,2,0
14,R,R,Congruent,1,0,0
15,R,D,Incongruent,0,1,3
16,R,L,Incongruent,1,1,1
17,R,R,Congruent,1,0,0
18,R,R,Congruent,1,0,0
19,R,L,Incongruent,1,1,1
20,D,L,Incongruent,0,2,1
21,U,U,Congruent,1,2,2
22,L,U,Incongruent,1,2,2
23,U,L,Incongruent,0,2,1
24,U,D,Incongruent,0,2,3
25,U,L,Incongruent,0,2,1
26,R,R,Congruent,1,0,0
27,L,U,Incongruent,1,2,2
28,L,R,Incongruent,1,0,0
29,D,D,Congruent,0,2,3
30,D,L,Incongruent,0,2,1
31,R,U,Incongruent,1,2,2
32,D,U,Incongruent,1,2,2
33,D,D,Congruent,0,2,3
34,R,R,Congruent,1,0,0
35,D,R,Incongruent,0,2,0
36,L,L,Congruent,1,1,1
37,R,R,Congruent,1,0,0
38,U,U,Congruent,1,2,2
39,R,R,Congruent,1,0,0
40,D,U,Incongruent,1,2,2
41,D,U,Incongruent,1,2,2
42,L,L,Congruent,1,1,1
43,U,L,Incongruent,0,2,1
44,L,L,Congruent,1,1,1
45,L,L,Congruent,1,1,1
46,L,L,Congruent,1,1,1
47,L,L,Congruent,1,1,1
48,L,R,Incongruent,1,0,0
49,D,R,Incongruent,0,2,0
50,U,D,Incongruent,0,2,3
51,R,R,Congruent,1,0,0
52,L,L,Congruent,1,1,1
53,U,U,Congruent,1,2,2
54,R,R,Congruent,1,0,0
55,D,D,Congruent,0,2,3
56,R,U,Incongruent,1,2,2
57,D,D,Congruent,0,2,3
58,L,L,Congruent,1,1,1
59,U,U,Congruent,1,2,2
60,L,D,Incongruent,1,3,3
61,U,U,Congruent,1,2,2
62,D,U,Incongruent,1,2,2
63,L,R,Incongruent,1,0,0
64,D,D,Congruent,0,2,3
