step,flanker,target,condition,learner_correct,learner_pred,true_target
1,U,U,Congruent,1,2,2
2,U,L,Incongruent,0,2,1
3,U,R,Incongruent,0,2,0
4,D,D,Congruent,0,2,3
5,R,R,Congruent,1,0,0
6,R,U,Incongruent,1,2,2
7,L,L,Congruent,1,1,1
8,L,L,Congruent,1,1,1
9,R,R,Congruent,1,0,0
10,U,U,Congruent,1,2,2
11,L,L,Congruent,1,1,1
12,R,R,Congruent,1,0,0
13,D,D,Congruent,0,2,3
14,L,R,Incongruent,1,0,0
15,R,R,Congruent,1,0,0
16,U,R,Incongruent,0,2,0
17,L,R,Incongruent,1,0,0
18,R,D,Incongruent,1,3,3
19,D,R,Incongruent,0,2,0
20,D,D,Congruent,0,2,3
21,L,L,Congruent,1,1,1
22,L,D,Incongruent,1,3,3
23,U,R,Incongruent,0,2,0
24,L,D,Incongruent,1,3,3
25,R,L,Incongruent,1,1,1
26,R,R,Congruent,1,0,0
27,L,L,Congruent,1,1,1
28,L,D,Incongruent,1,3,3
29,U,L,Incongruent,0,2,1
30,D,L,Incongruent,0,2,1
31,D,R,Incongruent,0,2,0
32,R,R,Congruent,1,0,0
33,R,U,Incongruent,1,2,2
34,U,U,Congruent,1,2,2
35,R,L,Incongruent,1,1,1
36,D,R,Incongruent,0,2,0
37,R,R,Congruent,1,0,0
38,D,R,Incongruent,0,2,0
39,D,L,Incongruent,0,2,1
40,U,D,Incongruent,0,2,3
41,D,D,Congruent,0,2,3
42,L,L,Congruent,1,1,1
43,U,L,Incongruent,0,2,1
44,D,D,Congruent,0,2,3
45,U,U,Congruent,1,2,2
46,U,U,Congruent,1,2,2
47,D,D,Congruent,0,2,3
48,L,L,Congruent,1,1,1
49,L,R,Incongruent,1,0,0
50,L,R,Incongruent,1,0,0
51,D,R,Incongruent,0,2,0
52,D,U,Incongruent,1,2,2
53,D,D,Congruent,0,2,3
54,U,L,Incongruent,0,2,1
55,D,D,Congruent,0,2,3
56,U,R,Incongruent,0,2,0
57,D,U,Incongruent,1,2,2
58,R,R,Congruent,1,0,0
59,D,D,Congruent,0,2,3
60,L,L,Congruent,1,1,1
61,L,D,Incongruent,1,3,3
62,D,L,Incongruent,0,2,1
