step,flanker,target,condition,learner_correct,learner_pred,true_target
1,U,U,Congruent,1,2,2
2,U,U,Congruent,1,2,2
3,R,D,Incongruent,1,3,3
4,R,L,Incongruent,1,1,1
5,L,U,Incongruent,1,2,2
6,U,R,Incongruent,1,0,0
7,L,L,Congruent,1,1,1
8,U,D,Incongruent,1,3,3
9,L,L,Congruent,1,1,1
10,D,D,Congruent,1,3,3
11,R,R,Congruent,1,0,0
12,L,L,Congruent,1,1,1
13,D,L,Incongruent,1,1,1
14,U,U,Congruent,1,2,2
15,U,U,Congruent,1,2,2
16,R,D,Incongruent,1,3,3
17,D,D,Congruent,1,3,3
18,R,R,Congruent,1,0,0
19,D,D,Congruent,1,3,3
20,U,L,Incongruent,1,1,1
21,R,R,Congruent,1,0,0
22,L,L,Congruent,1,1,1
23,D,D,Congruent,1,3,3
24,L,L,Congruent,1,1,1
25,R,D,Incongruent,1,3,3
26,U,U,Congruent,1,2,2
27,U,U,Congruent,1,2,2
28,L,L,Congruent,1,1,1
29,U,U,Congruent,1,2,2
30,D,D,Congruent,1,3,3
31,R,U,Incongruent,1,2,2
32,D,U,Incongruent,1,2,2
33,D,R,Incongruent,1,0,0
34,U,L,Incongruent,1,1,1
35,U,R,Incongruent,1,0,0
36,L,U,Incongruent,1,2,2
37,R,U,Incongruent,1,2,2
38,R,R,Congruent,1,0,0
39,D,L,Incongruent,1,1,1
40,R,D,Incongruent,1,3,3
41,D,L,Incongruent,1,1,1
42,U,L,Incongruent,1,1,1
43,U,U,Congruent,1,2,2
44,U,R,Incongruent,1,0,0
45,R,L,Incongruent,1,1,1
46,D,L,Incongruent,1,1,1
47,D,D,Congruent,1,3,3
48,D,D,Congruent,1,3,3
49,R,D,Incongruent,1,3,3
50,U,U,Congruent,1,2,2
51,L,L,Congruent,1,1,1
52,U,U,Congruent,1,2,2
53,U,D,Incongruent,1,3,3
54,D,R,Incongruent,1,0,0
55,U,U,Congruent,1,2,2
56,L,L,Congruent,1,1,1
57,L,L,Congruent,1,1,1
58,D,D,Congruent,1,3,3
59,L,R,Incongruent,1,0,0
60,D,U,Incongruent,1,2,2
61,U,U,Congruent,1,2,2
62,L,R,Incongruent,1,0,0
63,R,D,Incongruent,1,3,3
64,R,R,Congruent,1,0,0
65,R,R,Congruent,1,0,0
66,R,L,Incongruent,1,1,1
67,L,R,Incongruent,1,0,0
68,D,D,Congruent,1,3,3
69,U,U,Congruent,1,2,2
70,U,R,Incongruent,1,0,0
71,U,U,Congruent,1,2,2
72,U,D,Incongruent,1,3,3
73,D,U,Incongruent,1,2,2
74,R,R,Congruent,1,0,0
75,R,R,Congruent,1,0,0
76,R,L,Incongruent,1,1,1
77,R,R,Congruent,1,0,0
