step,flanker,target,condition,learner_correct,learner_pred,true_target
1,L,L,Congruent,1,1,1
2,D,L,Incongruent,0,2,1
3,U,U,Congruent,1,2,2
4,L,L,Congruent,1,1,1
5,D,D,Congruent,0,2,3
6,R,R,Congruent,1,0,0
7,R,L,Incongruent,1,1,1
8,U,D,Incongruent,0,2,3
9,D,L,Incongruent,0,2,1
10,L,L,Congruent,1,1,1
11,L,R,Incongruent,1,0,0
12,U,R,Incongruent,0,2,0
13,L,L,Congruent,1,1,1
14,L,U,Incongruent,1,2,2
15,U,L,Incongruent,0,2,1
16,U,U,Congruent,1,2,2
17,U,U,Congruent,1,2,2
18,L,U,Incongruent,1,2,2
19,L,L,Congruent,1,1,1
20,L,D,Incongruent,1,3,3
21,U,D,Incongruent,0,2,3
22,D,U,Incongruent,1,2,2
23,U,U,Congruent,1,2,2
24,U,R,Incongruent,0,2,0
25,D,U,Incongruent,1,2,2
26,L,L,Congruent,1,1,1
27,U,D,Incongruent,0,2,3
28,D,D,Congruent,0,2,3
29,D,L,Incongruent,0,2,1
30,R,R,Congruent,1,0,0
31,L,D,Incongruent,1,3,3
32,D,D,Congruent,0,2,3
33,L,D,Incongruent,1,3,3
34,D,D,Congruent,0,2,3
35,R,R,Congruent,1,0,0
36,L,L,Congruent,1,1,1
37,L,L,Congruent,1,1,1
38,L,L,Congruent,1,1,1
39,D,L,Incongruent,0,2,1
40,L,L,Congruent,1,1,1
41,U,U,Congruent,1,2,2
42,L,L,Congruent,1,1,1
43,R,L,Incongruent,1,1,1
44,L,R,Incongruent,1,0,0
45,R,R,Congruent,1,0,0
46,U,D,Incongruent,0,2,3
47,D,U,Incongruent,1,2,2
48,D,R,Incongruent,0,2,0
49,L,R,Incongruent,1,0,0
50,L,L,Congruent,1,1,1
51,U,U,Congruent,1,2,2
52,L,L,Congruent,1,1,1
53,U,U,Congruent,1,2,2
54,L,U,Incongruent,1,2,2
