step,flanker,target,condition,learner_correct,learner_pred,true_target
1,U,R,Incongruent,1,0,0
2,R,L,Incongruent,1,1,1
3,U,U,Congruent,1,2,2
4,U,R,Incongruent,1,0,0
5,D,D,Congruent,1,3,3
6,U,L,Incongruent,1,1,1
7,U,D,Incongruent,1,3,3
8,D,D,Congruent,1,3,3
9,D,R,Incongruent,1,0,0
10,U,R,Incongruent,1,0,0
11,U,L,Incongruent,1,1,1
12,U,U,Congruent,1,2,2
13,R,R,Congruent,1,0,0
14,R,R,Congruent,1,0,0
15,R,R,Congruent,1,0,0
16,D,R,Incongruent,1,0,0
17,L,D,Incongruent,1,3,3
18,R,D,Incongruent,1,3,3
19,R,D,Incongruent,1,3,3
20,D,D,Congruent,1,3,3
21,D,L,Incongruent,1,1,1
22,D,D,Congruent,1,3,3
23,U,U,Congruent,1,2,2
24,L,L,Congruent,1,1,1
25,D,D,Congruent,1,3,3
26,R,R,Congruent,1,0,0
27,D,D,Congruent,1,3,3
28,L,D,Incongruent,1,3,3
29,R,R,Congruent,1,0,0
30,U,L,Incongruent,1,1,1
31,D,L,Incongruent,1,1,1
32,D,D,Congruent,1,3,3
33,R,R,Congruent,1,0,0
34,D,D,Congruent,1,3,3
35,D,U,Incongruent,1,2,2
36,D,D,Congruent,1,3,3
37,U,R,Incongruent,1,0,0
38,L,L,Congruent,1,1,1
39,U,R,Incongruent,1,0,0
40,L,L,Congruent,1,1,1
41,U,U,Congruent,1,2,2
42,U,R,Incongruent,1,0,0
43,R,D,Incongruent,1,3,3
44,D,D,Congruent,1,3,3
45,R,R,Congruent,1,0,0
46,L,L,Congruent,1,1,1
47,L,L,Congruent,1,1,1
48,R,R,Congruent,1,0,0
49,L,L,Congruent,1,1,1
50,L,U,Incongruent,1,2,2
51,L,L,Congruent,1,1,1
52,R,R,Congruent,1,0,0
53,R,L,Incongruent,1,1,1
54,R,R,Congruent,1,0,0
55,L,L,Congruent,1,1,1
56,R,R,Congruent,1,0,0
57,U,U,Congruent,1,2,2
58,L,L,Congruent,1,1,1
