step,flanker,target,condition,learner_correct,learner_pred,true_target
1,D,D,Congruent,1,3,3
2,U,D,Incongruent,1,3,3
3,L,L,Congruent,1,1,1
4,L,R,Incongruent,1,0,0
5,L,U,Incongruent,1,2,2
6,U,U,Congruent,1,2,2
7,U,D,Incongruent,1,3,3
8,U,U,Congruent,1,2,2
9,R,R,Congruent,1,0,0
10,R,R,Congruent,1,0,0
11,D,D,Congruent,1,3,3
12,R,D,Incongruent,1,3,3
13,U,D,Incongruent,1,3,3
14,R,R,Congruent,1,0,0
15,U,D,Incongruent,1,3,3
16,D,R,Incongruent,1,0,0
17,D,D,Congruent,1,3,3
18,L,R,Incongruent,1,0,0
19,U,U,Congruent,1,2,2
20,L,U,Incongruent,1,2,2
21,D,U,Incongruent,1,2,2
22,U,U,Congruent,1,2,2
23,R,R,Congruent,1,0,0
24,D,U,Incongruent,1,2,2
25,U,L,Incongruent,1,1,1
26,U,D,Incongruent,1,3,3
27,L,U,Incongruent,1,2,2
28,R,R,Congruent,1,0,0
29,L,R,Incongruent,1,0,0
30,U,U,Congruent,1,2,2
31,R,U,Incongruent,1,2,2
32,L,D,Incongruent,1,3,3
33,D,D,Congruent,1,3,3
34,R,D,Incongruent,1,3,3
35,L,L,Congruent,1,1,1
36,D,L,Incongruent,1,1,1
37,U,U,Congruent,1,2,2
38,R,R,Congruent,1,0,0
39,R,L,Incongruent,1,1,1
40,U,U,Congruent,1,2,2
41,D,U,Incongruent,1,2,2
42,D,D,Congruent,1,3,3
43,D,U,Incongruent,1,2,2
44,L,L,Congruent,1,1,1
45,D,D,Congruent,1,3,3
46,U,U,Congruent,1,2,2
47,D,D,Congruent,1,3,3
48,L,L,Congruent,1,1,1
49,R,R,Congruent,1,0,0
50,D,D,Congruent,1,3,3
51,L,U,Incongruent,1,2,2
52,R,R,Congruent,1,0,0
53,D,R,Incongruent,1,0,0
54,U,U,Congruent,1,2,2
55,U,R,Incongruent,1,0,0
56,R,R,Congruent,1,0,0
57,L,D,Incongruent,1,3,3
58,L,R,Incongruent,1,0,0
59,U,D,Incongruent,1,3,3
60,R,R,Congruent,1,0,0
