step,flanker,target,condition,learner_correct,learner_pred,true_target
1,L,L,Congruent,1,1,1
2,D,R,Incongruent,1,0,0
3,R,L,Incongruent,1,1,1
4,L,L,Congruent,1,1,1
5,U,U,Congruent,1,2,2
6,L,U,Incongruent,1,2,2
7,D,D,Congruent,1,3,3
8,L,U,Incongruent,1,2,2
9,R,U,Incongruent,1,2,2
10,D,D,Congruent,1,3,3
11,R,U,Incongruent,1,2,2
12,L,D,Incongruent,1,3,3
13,R,U,Incongruent,1,2,2
14,L,U,Incongruent,1,2,2
15,U,L,Incongruent,1,1,1
16,R,R,Congruent,1,0,0
17,D,U,Incongruent,1,2,2
18,R,R,Congruent,1,0,0
19,U,U,Congruent,1,2,2
20,L,D,Incongruent,1,3,3
21,R,R,Congruent,1,0,0
22,D,D,Congruent,1,3,3
23,U,U,Congruent,1,2,2
24,D,D,Congruent,1,3,3
25,D,D,Congruent,1,3,3
26,D,L,Incongruent,1,1,1
27,L,R,Incongruent,1,0,0
28,D,L,Incongruent,1,1,1
29,R,R,Congruent,1,0,0
30,U,R,Incongruent,1,0,0
31,R,R,Congruent,1,0,0
32,D,D,Congruent,1,3,3
33,D,D,Congruent,1,3,3
34,R,L,Incongruent,1,1,1
35,D,R,Incongruent,1,0,0
36,L,U,Incongruent,1,2,2
37,U,U,Congruent,1,2,2
38,R,R,Congruent,1,0,0
39,R,L,Incongruent,1,1,1
40,L,R,Incongruent,1,0,0
41,R,D,Incongruent,1,3,3
42,D,D,Congruent,1,3,3
