step,flanker,target,condition,learner_correct,learner_pred,true_target
1,U,U,Congruent,1,2,2
2,U,R,Incongruent,1,0,0
3,R,R,Congruent,1,0,0
4,R,R,Congruent,1,0,0
5,L,R,Incongruent,1,0,0
6,U,R,Incongruent,1,0,0
7,L,L,Congruent,1,1,1
8,R,D,Incongruent,1,3,3
9,L,D,Incongruent,1,3,3
10,D,D,Congruent,1,3,3
11,D,D,Congruent,1,3,3
12,U,U,Congruent,1,2,2
13,D,D,Congruent,1,3,3
14,L,L,Congruent,1,1,1
15,L,D,Incongruent,1,3,3
16,U,D,Incongruent,1,3,3
17,D,L,Incongruent,1,1,1
18,L,L,Congruent,1,1,1
19,L,L,Congruent,1,1,1
20,R,L,Incongruent,1,1,1
21,D,R,Incongruent,1,0,0
22,U,U,Congruent,1,2,2
23,R,R,Congruent,1,0,0
24,R,R,Congruent,1,0,0
25,R,R,Congruent,1,0,0
26,D,U,Incongruent,1,2,2
27,D,L,Incongruent,1,1,1
28,D,L,Incongruent,1,1,1
29,D,R,Incongruent,1,0,0
30,R,R,Congruent,1,0,0
31,L,L,Congruent,1,1,1
32,R,D,Incongruent,1,3,3
33,L,D,Incongruent,1,3,3
34,U,U,Congruent,1,2,2
35,R,R,Congruent,1,0,0
36,D,D,Congruent,1,3,3
37,L,L,Congruent,1,1,1
38,D,D,Congruent,1,3,3
39,U,R,Incongruent,1,0,0
40,U,U,Congruent,1,2,2
41,D,D,Congruent,1,3,3
42,L,R,Incongruent,1,0,0
43,D,D,Congruent,1,3,3
44,U,U,Congruent,1,2,2
45,R,R,Congruent,1,0,0
46,D,D,Congruent,1,3,3
47,L,L,Congruent,1,1,1
48,R,D,Incongruent,1,3,3
49,U,U,Congruent,1,2,2
50,R,D,Incongruent,1,3,3
51,R,R,Congruent,1,0,0
52,L,D,Incongruent,1,3,3
53,D,U,Incongruent,1,2,2
54,D,L,Incongruent,1,1,1
55,R,R,Congruent,1,0,0
56,D,R,Incongruent,1,0,0
57,L,L,Congruent,1,1,1
58,D,U,Incongruent,1,2,2
